344,Apostle\, The (1997),1997-12-18,\N,http://us.imdb.com/M/title-exact?imdb-title-118632,30529
345,Deconstructing Harry (1997),1997-01-01,\N,http://us.imdb.com/M/title-exact?imdb-title-118954,126293
346,Jackie Brown (1997),1997-01-01,\N,http://us.imdb.com/M/title-exact?imdb-title-119396,254118
347,Wag the Dog (1997),1998-01-09,\N,http://us.imdb.com/M/title-exact?imdb-title-120885,549839
340,Boogie Nights (1997),1997-01-01,\N,http://us.imdb.com/M/title-exact?Boogie+Nights+(1997),68725
341,Critical Care (1997),1997-01-01,\N,http://us.imdb.com/M/title-exact?Critical+Care+(1997),113440
342,Man Who Knew Too Little\, The (1997),1997-01-01,\N,http://us.imdb.com/M/title-exact?Man+Who+Knew+Too+Little%2C+The+(1997),313376
343,Alien: Resurrection (1997),1997-01-01,\N,http://us.imdb.com/M/title-exact?Alien%3A+Resurrection+(1997),18005
348,Desperate Measures (1998),1998-01-30,\N,http://us.imdb.com/Title?Desperate+Measures+(1998),129808
349,Hard Rain (1998),1998-01-16,\N,http://us.imdb.com/M/title-exact?imdb-title-120696,214532
1653,Entertaining Angels: The Dorothy Day Story (1996),1996-09-27,\N,http://us.imdb.com/M/title-exact?Entertaining%20Angels:%20The%20Dorothy%20Day%20Story%20(1996),156677
298,Face/Off (1997),1997-06-27,\N,http://us.imdb.com/M/title-exact?Face/Off+(1997),165274
299,Hoodlum (1997),1997-08-22,\N,http://us.imdb.com/M/title-exact?Hoodlum+(1997),229963
296,Promesse\, La (1996),1997-05-16,\N,http://us.imdb.com/M/title-exact?Promesse%2C%20La%20%281996%29,408591
297,Ulee's Gold (1997),1997-01-01,\N,http://us.imdb.com/M/title-exact?Ulee%27s+Gold+(1997),528985
294,Liar Liar (1997),1997-03-21,\N,http://us.imdb.com/Title?Liar+Liar+(1997),291404
295,Breakdown (1997),1997-05-02,\N,http://us.imdb.com/M/title-exact?Breakdown%20%281997%29,1354922
292,Rosewood (1997),1997-02-21,\N,http://us.imdb.com/M/title-exact?Rosewood%20(1997),433824
293,Donnie Brasco (1997),1997-02-28,\N,http://us.imdb.com/M/title-exact?Donnie%20Brasco%20(1997),140010
290,Fierce Creatures (1997),1997-01-10,\N,http://us.imdb.com/M/title-exact?Fierce%20Creatures%20(1997),172592
291,Absolute Power (1997),1997-02-14,\N,http://us.imdb.com/M/title-exact?Absolute%20Power%20(1997),9317
270,Gattaca (1997),1997-01-01,\N,http://us.imdb.com/M/title-exact?Gattaca+(1997),192030
271,Starship Troopers (1997),1997-01-01,\N,http://us.imdb.com/M/title-exact?Starship+Troopers+(1997),482573
272,Good Will Hunting (1997),1997-01-01,\N,http://us.imdb.com/M/title-exact?imdb-title-119217,202963
273,Heat (1995),1995-01-01,\N,http://us.imdb.com/M/title-exact?Heat%20(1995),218194
274,Sabrina (1995),1995-01-01,\N,http://us.imdb.com/M/title-exact?Sabrina%20(1995),438315
275,Sense and Sensibility (1995),1995-01-01,\N,http://us.imdb.com/M/title-exact?Sense%20and%20Sensibility%20(1995),452507
276,Leaving Las Vegas (1995),1995-01-01,\N,http://us.imdb.com/M/title-exact?Leaving%20Las%20Vegas%20(1995),287685
277,Restoration (1995),1995-01-01,\N,http://us.imdb.com/M/title-exact?Restoration%20(1995),425046
278,Bed of Roses (1996),1996-01-01,\N,http://us.imdb.com/M/title-exact?Bed%20of%20Roses%20(1996),51097
279,Once Upon a Time... When We Were Colored (1995),1995-01-01,\N,http://us.imdb.com/M/title-exact?Once%20Upon%20a%20Time... When%20We%20Were%20Colored%20(1995),371054
108,Kids in the Hall: Brain Candy (1996),1996-04-12,\N,http://us.imdb.com/M/title-exact?Kids%20in%20the%20Hall:%20Brain%20Candy%20(1996),272135
109,Mystery Science Theater 3000: The Movie (1996),1996-04-19,\N,http://us.imdb.com/M/title-exact?Mystery%20Science%20Theater%203000:%20The%20Movie%20(1996),346133
102,Aristocats\, The (1970),1970-01-01,\N,http://us.imdb.com/M/title-exact?Aristocats\,%20The%20(1970),1354777
103,All Dogs Go to Heaven 2 (1996),1996-03-29,\N,http://us.imdb.com/M/title-exact?All%20Dogs%20Go%20to%20Heaven%202%20(1996),18462
100,Fargo (1996),1997-02-14,\N,http://us.imdb.com/M/title-exact?Fargo%20(1996),168225
101,Heavy Metal (1981),1981-03-08,\N,http://us.imdb.com/M/title-exact?Heavy%20Metal%20(1981),218449
106,Diabolique (1996),1996-01-01,\N,http://us.imdb.com/M/title-exact?Diabolique%20(1996),132167
107,Moll Flanders (1996),1996-06-14,\N,http://us.imdb.com/M/title-exact?Moll%20Flanders%20(1996),334410
104,Theodore Rex (1995),1996-03-29,\N,http://us.imdb.com/M/title-exact?Theodore%20Rex%20(1995),506704
105,Sgt. Bilko (1996),1996-03-29,\N,http://us.imdb.com/M/title-exact?Sgt.%20Bilko%20(1996),456162
1372,Stranger\, The (1994),1994-01-01,\N,http://us.imdb.com/Title?Stranger\,+The+(1994/II),486440
1001,Stupids\, The (1996),1996-08-30,\N,http://us.imdb.com/M/title-exact?Stupids\,%20The%20(1996),488417
1210,Virtuosity (1995),1995-01-01,\N,http://us.imdb.com/M/title-exact?Virtuosity%20(1995),545611
1375,Cement Garden\, The (1993),1993-01-01,\N,http://us.imdb.com/M/title-exact?Cement%20Garden\,%20The%20(1993),89457
1655,Favor\, The (1994),1994-01-01,\N,http://us.imdb.com/M/title-exact?Favor\,%20The%20(1994),169818
1374,Falling in Love Again (1980),1980-01-01,\N,http://us.imdb.com/M/title-exact?Falling%20in%20Love%20Again%20(1980),166486
99,Snow White and the Seven Dwarfs (1937),1937-01-01,\N,http://us.imdb.com/M/title-exact?Snow%20White%20and%20the%20Seven%20Dwarfs%20(1937),471015
98,Silence of the Lambs\, The (1991),1991-01-01,\N,http://us.imdb.com/M/title-exact?Silence%20of%20the%20Lambs\,%20The%20(1991),463822
91,Nightmare Before Christmas\, The (1993),1993-01-01,\N,http://us.imdb.com/M/title-exact?Nightmare%20Before%20Christmas\,%20The%20(1993),357541
90,So I Married an Axe Murderer (1993),1993-01-01,\N,http://us.imdb.com/M/title-exact?So%20I%20Married%20an%20Axe%20Murderer%20(1993),471233
93,Welcome to the Dollhouse (1995),1996-05-24,\N,http://us.imdb.com/Title?Welcome+to+the+Dollhouse+(1995),554953
92,True Romance (1993),1993-01-01,\N,http://us.imdb.com/M/title-exact?True%20Romance%20(1993),523473
95,Aladdin (1992),1992-01-01,\N,http://us.imdb.com/M/title-exact?Aladdin%20(1992),16377
94,Home Alone (1990),1990-01-01,\N,http://us.imdb.com/M/title-exact?Home%20Alone%20(1990),228382
97,Dances with Wolves (1990),1990-01-01,\N,http://us.imdb.com/M/title-exact?Dances%20with%20Wolves%20(1990),120116
96,Terminator 2: Judgment Day (1991),1991-01-01,\N,http://us.imdb.com/M/title-exact?Terminator%202:%20Judgment%20Day%20(1991),504303
1623,Cérémonie\, La (1995),1996-12-20,\N,http://us.imdb.com/M/title-exact?C%E9r%E9monie%2C%20La%20%281995%29,724233
1622,Paris\, France (1993),1993-01-01,\N,http://us.imdb.com/M/title-exact?Paris\,%20France%20(1993),383382
1621,Butterfly Kiss (1995),1996-04-26,\N,http://us.imdb.com/M/title-exact?Butterfly%20Kiss%20(1995),78880
1620,Sixth Man\, The (1997),1997-03-28,\N,http://us.imdb.com/M/title-exact?Sixth%20Man%2C%20The%20(1997),466893
1627,Wife\, The (1995),1996-07-26,\N,http://us.imdb.com/Title?Wife\,+The+(1995),561123
1626,Nobody Loves Me (Keiner liebt mich) (1994),1996-02-09,\N,http://us.imdb.com/M/title-exact?Keiner%20liebt%20mich%20(1994),177196
1625,Nightwatch (1997),1997-04-22,\N,http://us.imdb.com/M/title-exact?Nightwatch%20(1997),357673
1624,Hush (1998),1998-03-10,\N,http://us.imdb.com/Title?Hush+(1998),236004
1629,Nico Icon (1995),1995-01-01,\N,http://us.imdb.com/M/title-exact?Nico%20Icon%20(1995),356350
1377,Hotel de Love (1996),1997-02-07,\N,http://us.imdb.com/M/title-exact?Hotel%20de%20Love%20(1996),232010
559,Interview with the Vampire (1994),1994-01-01,\N,http://us.imdb.com/M/title-exact?Interview%20with%20the%20Vampire%20(1994),1360423
558,Heavenly Creatures (1994),1994-01-01,\N,http://us.imdb.com/M/title-exact?Heavenly%20Creatures%20(1994),218379
555,White Man's Burden (1995),1995-01-01,\N,http://us.imdb.com/M/title-exact?White%20Man's%20Burden%20(1995),559242
554,Waterworld (1995),1995-01-01,\N,http://us.imdb.com/M/title-exact?Waterworld%20(1995),553035
557,Farinelli: il castrato (1994),1994-01-01,\N,http://us.imdb.com/M/title-exact?Farinelli:%20il%20castrato%20(1994),1357788
556,Wild Bill (1995),1995-01-01,\N,http://us.imdb.com/M/title-exact?Wild%20Bill%20(1995),561290
551,Lord of Illusions (1995),1995-01-01,\N,http://us.imdb.com/M/title-exact?Lord%20of%20Illusions%20(1995),299620
550,Die Hard: With a Vengeance (1995),1995-01-01,\N,http://us.imdb.com/M/title-exact?Die%20Hard:%20With%20a%20Vengeance%20(1995),220901
553,Walk in the Clouds\, A (1995),1995-01-01,\N,http://us.imdb.com/M/title-exact?Walk%20in%20the%20Clouds\,%20A%20(1995),550608
552,Species (1995),1995-01-01,\N,http://us.imdb.com/M/title-exact?Species%20(1995),477655
1439,Jason's Lyric (1994),1994-01-01,\N,http://us.imdb.com/M/title-exact?Jason's%20Lyric%20(1994),255996
1199,Cemetery Man (Dellamorte Dellamore) (1994),1996-04-12,\N,http://us.imdb.com/M/title-exact?Dellamorte%20Dellamore%20(1994),93627
1198,Purple Noon (1960),1960-06-28,\N,http://us.imdb.com/M/title-exact?Plein%20soleil%20(1960),397218
